id,name,category,lat,lon,state,source,metadata_json
mil_1f614ecd-baf1-4a09-8312-7a5608cef102,Fort Sheridan,military_base,42.21054000,-87.81122000,IL,BTS_MIL_BASES,"{""site_operational_status"":""act"",""reporting_component"":""usn"",""coord_match_method"":""frs_state_name_exact"",""matched_frs_name"":""FORT SHERIDAN"",""matched_frs_registry_id"":""110064441448""}"
mil_697cec17-38ee-4f84-aee6-4923cd709a79,Naval Station Norfolk,military_base,36.95070500,-76.31945400,VA,BTS_MIL_BASES,"{""site_operational_status"":""act"",""reporting_component"":""usn"",""coord_match_method"":""frs_state_name_exact"",""matched_frs_name"":""NAVAL STATION NORFOLK"",""matched_frs_registry_id"":""110070828225""}"
mil_4a5d0592-dc4f-4f2a-ba61-048010dd814b,Glenview,military_base,42.05495300,-87.82197600,IL,BTS_MIL_BASES,"{""site_operational_status"":""act"",""reporting_component"":""usn"",""coord_match_method"":""frs_state_name_exact"",""matched_frs_name"":""GLENVIEW"",""matched_frs_registry_id"":""110028080653""}"
mil_66694b4d-ffb7-459a-8738-802baf906e4b,Selfridge ANGB,military_base,42.60087000,-82.83714000,MI,BTS_MIL_BASES,"{""site_operational_status"":""act"",""reporting_component"":""airNationalGuard"",""coord_match_method"":""frs_state_name_exact"",""matched_frs_name"":""SELFRIDGE ANGB"",""matched_frs_registry_id"":""110071870612""}"
mil_37d10a26-15cc-4821-8fea-1c28f5d15945,Naval Base Guam,military_base,13.42777000,144.65892900,GU,BTS_MIL_BASES,"{""site_operational_status"":""act"",""reporting_component"":""usn"",""coord_match_method"":""frs_state_name_canonical"",""matched_frs_name"":""U.S. NAVAL BASE GUAM"",""matched_frs_registry_id"":""110066871497""}"
mil_e0f83785-4806-4c71-8c37-0db8f68b818f,Andersen Air Force Base,military_base,13.57291600,144.89736100,GU,BTS_MIL_BASES,"{""site_operational_status"":""act"",""reporting_component"":""usn"",""coord_match_method"":""frs_state_name_exact"",""matched_frs_name"":""ANDERSEN AIR FORCE BASE"",""matched_frs_registry_id"":""110022811778""}"
mil_8aada513-9d6f-48c6-a1be-2ac53ac4628b,Naval Base Kitsap Bangor,military_base,47.72100000,-122.73779000,WA,BTS_MIL_BASES,"{""site_operational_status"":""act"",""reporting_component"":""usn"",""coord_match_method"":""frs_state_name_canonical"",""matched_frs_name"":""NAVAL BASE KITSAP AT BANGOR"",""matched_frs_registry_id"":""110070727050""}"
mil_7dd3b264-4aeb-4726-b8b6-b148b4d3b9fb,Naval Air Station Meridian,military_base,32.55100000,-88.60500000,MS,BTS_MIL_BASES,"{""site_operational_status"":""act"",""reporting_component"":""usn"",""coord_match_method"":""frs_state_name_exact"",""matched_frs_name"":""NAVAL AIR STATION, MERIDIAN"",""matched_frs_registry_id"":""110002228027""}"
mil_c83a360f-7e6b-417d-b335-b94b7de34fa9,Truman Annex,military_base,24.55698000,-81.80659000,FL,BTS_MIL_BASES,"{""site_operational_status"":""act"",""reporting_component"":""usn"",""coord_match_method"":""frs_state_name_exact"",""matched_frs_name"":""TRUMAN ANNEX"",""matched_frs_registry_id"":""110027948728""}"
mil_b01b44b8-190c-4bb0-bee0-5feb29755fe9,Naval Air Station Corpus Christi,military_base,27.70363700,-97.28528600,TX,BTS_MIL_BASES,"{""site_operational_status"":""act"",""reporting_component"":""usn"",""coord_match_method"":""frs_state_name_exact"",""matched_frs_name"":""NAVAL AIR STATION CORPUS CHRISTI"",""matched_frs_registry_id"":""110000465078""}"
